93064;93110;ROSNY SOUS BOIS;48.8761957, 2.4856366;FF d'éducation physique et de gymnastique volontaire;185;1;74;110;167;1;63;103;0;41050;20941;5069;12079;3792;10548;23620;6881
93064;93110;ROSNY SOUS BOIS;48.8761957, 2.4856366;F sportive et culturelle de France;90;7;46;37;17;4;6;7;0;41050;20941;5069;12079;3792;10548;23620;6881
93064;93110;ROSNY SOUS BOIS;48.8761957, 2.4856366;Union nationale du sport scolaire (UNSS);1016;990;26;;430;424;6;;0;41050;20941;5069;12079;3792;10548;23620;6881
93027;93120;LA COURNEUVE;48.9267236, 2.3896123;FF de boxe;22;8;14;;4;1;3;;13;38007;19222;6092;10736;2394;11960;21555;4491
93027;93120;LA COURNEUVE;48.9267236, 2.3896123;FF d'escrime;9;5;3;1;2;1;1;;4;38007;19222;6092;10736;2394;11960;21555;4491
93027;93120;LA COURNEUVE;48.9267236, 2.3896123;FF de handball;37;31;6;;13;9;4;;13;38007;19222;6092;10736;2394;11960;21555;4491
93027;93120;LA COURNEUVE;48.9267236, 2.3896123;FF de tir à l'arc;4;1;2;1;;;;;2;38007;19222;6092;10736;2394;11960;21555;4491
93027;93120;LA COURNEUVE;48.9267236, 2.3896123;FF d'aéromodélisme;1;;1;;;;;;1;38007;19222;6092;10736;2394;11960;21555;4491
93027;93120;LA COURNEUVE;48.9267236, 2.3896123;FF d'aïkido, d'aïkibudo et affinitaires;27;17;11;;;;;;11;38007;19222;6092;10736;2394;11960;21555;4491
93027;93120;LA COURNEUVE;48.9267236, 2.3896123;FF de motocyclisme;5;;2;3;;;;;0;38007;19222;6092;10736;2394;11960;21555;4491
93027;93120;LA COURNEUVE;48.9267236, 2.3896123;FF de sports de contact et disciplines associées;24;13;11;;;;;;11;38007;19222;6092;10736;2394;11960;21555;4491
93027;93120;LA COURNEUVE;48.9267236, 2.3896123;FF du sport travailliste;4;;4;;2;;2;;1;38007;19222;6092;10736;2394;11960;21555;4491
93027;93120;LA COURNEUVE;48.9267236, 2.3896123;F sportive et culturelle de France;40;23;15;2;20;10;10;;9;38007;19222;6092;10736;2394;11960;21555;4491
93027;93120;LA COURNEUVE;48.9267236, 2.3896123;Union nationale des clubs universitaires;7;5;2;;1;;1;;3;38007;19222;6092;10736;2394;11960;21555;4491
93053;93130;NOISY LE SEC;48.8905772, 2.45468;FF de canoë-kayak;5;;5;;1;;1;;1;39733;20590;5698;11692;3200;11614;22525;5593
93053;93130;NOISY LE SEC;48.8905772, 2.45468;FF d'altérophilie, musculation, force athlétique et culturisme;2;;2;;;;;;0;39733;20590;5698;11692;3200;11614;22525;5593
93053;93130;NOISY LE SEC;48.8905772, 2.45468;FF de tennis;203;105;83;15;44;20;19;5;13;39733;20590;5698;11692;3200;11614;22525;5593
93053;93130;NOISY LE SEC;48.8905772, 2.45468;FF de volley-ball;36;26;10;;26;25;2;;2;39733;20590;5698;11692;3200;11614;22525;5593
93053;93130;NOISY LE SEC;48.8905772, 2.45468;FF de golf;76;7;45;24;23;2;14;7;1;39733;20590;5698;11692;3200;11614;22525;5593
93053;93130;NOISY LE SEC;48.8905772, 2.45468;FF du sport automobile;5;1;4;;;;;;0;39733;20590;5698;11692;3200;11614;22525;5593
93053;93130;NOISY LE SEC;48.8905772, 2.45468;FF de motocyclisme;7;;6;1;1;;1;;0;39733;20590;5698;11692;3200;11614;22525;5593
93053;93130;NOISY LE SEC;48.8905772, 2.45468;FF de vol libre;20;3;12;6;3;;3;;0;39733;20590;5698;11692;3200;11614;22525;5593
93053;93130;NOISY LE SEC;48.8905772, 2.45468;FF de baseball et softball;7;4;3;;1;1;;;1;39733;20590;5698;11692;3200;11614;22525;5593
93053;93130;NOISY LE SEC;48.8905772, 2.45468;FF du sport travailliste;3;1;2;;1;;1;;0;39733;20590;5698;11692;3200;11614;22525;5593
